what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1382871853620
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1382871853659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871857143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871857183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871861612
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1382871866158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871874173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871903984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871904301
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871905301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871920594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871924184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871924528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871924736
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1382871924744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871941847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871967317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382871969004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382872253161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1382872259503
started,bundle,org.eclipse.datatools.connectivity,1.2.3.v201108101135,"org.eclipse.datatools.connectivity",1382872266189
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.1.v201010211430,"org.eclipse.datatools.connectivity.ui",1382872266193
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1382872266209
