what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384705927966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384705934302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384705940367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1384705962569
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1384705967937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1384705968392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1384705968855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1384706216216
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1384706226901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384706227586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384706232342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1384706261517
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1384706269470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384706269669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384706273376
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1384706728321
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1384706728321
started,bundle,org.eclipse.mylyn.context.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.ui",1384706729971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384706734135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384706927255
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1384706927522
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1384706927671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1384706936032
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1384706940976
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1384706942696
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384707199482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384707220319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1384707231251
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384707242403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707264149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707264989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707266052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707317138
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1384707320934
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1384707334544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384707353606
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384707372305
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1384707418700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707420210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707421070
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1384707425324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707427911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707429504
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384707463437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384707516613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384707525427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1384707571778
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1384707582001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707591572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707826053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707826661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707827121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707827440
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384707849867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1384708011430
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1384708022258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384708022302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384708026237
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1384708032411
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1384708032419
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1384708032441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384708032507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384708035177
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1384708035208
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1384708035212
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1384708035275
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384708035309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384708037940
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1384708038571
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1384708038880
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1384708038963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384708038983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384708039081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384708039750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1384708039805
started,bundle,org.eclipse.mylyn.ide.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.ide.ui",1384708040381
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1384708040425
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1384708044578
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1384708044592
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1384708044721
opened,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1384708045276
closed,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1384708045287
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1384708047525
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1384708047536
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1384708049965
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1384708049985
