what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.svn.mylyn,1.0.0.I20130122-1700,"org.eclipse.team.svn.mylyn",1384853812467
os,sysinfo,,,"win32",1384853812517
arch,sysinfo,,,"x86",1384853812517
ws,sysinfo,,,"win32",1384853812517
locale,sysinfo,,,"en_IN",1384853812517
processors,sysinfo,,,"4",1384853812517
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1384853812517
java.runtime.version,sysinfo,,,"1.7.0-ea-b85",1384853812517
java.specification.name,sysinfo,,,"Java Platform API Specification",1384853812517
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384853812517
java.specification.version,sysinfo,,,"1.7",1384853812517
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1384853812517
java.version,sysinfo,,,"1.7.0-ea",1384853812517
java.vm.info,sysinfo,,,"mixed mode, sharing",1384853812517
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1384853812517
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384853812517
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384853812517
java.vm.specification.version,sysinfo,,,"1.0",1384853812517
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1384853812517
java.vm.version,sysinfo,,,"17.0-b10",1384853812517
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1384853812544
started,bundle,org.eclipse.team.svn.ui,1.0.1.I20130306-1700,"org.eclipse.team.svn.ui",1384853812621
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1384853812625
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1384853812749
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1384853812751
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1384853812752
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1384853812774
started,bundle,org.eclipse.team.svn.revision.graph,1.0.0.I20120601-1700,"org.eclipse.team.svn.revision.graph",1384853812793
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1384853812820
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1384853813017
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1384853813040
started,bundle,com.objectaid.uml,1.1.1,"com.objectaid.uml",1384853813129
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1384853813160
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1384853813411
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.300.v20110427,"org.eclipse.jst.server.tomcat.core",1384853813681
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1384853813999
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1384853814020
started,bundle,com.objectaid.uml.cls,1.1.1,"com.objectaid.uml.cls",1384853814220
started,bundle,org.eclipse.gef,3.8.2.201301141834,"org.eclipse.gef",1384853814277
started,bundle,com.objectaid.uml.seq,1.1.1,"com.objectaid.uml.seq",1384853814369
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1384853814905
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1384853815827
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1384853817147
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1384853817512
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1384853818216
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1384853818264
started,bundle,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.ui",1384853818265
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1384853818277
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1384853818337
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1384853818354
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1384853818485
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1384853818673
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1384853818702
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1384853818739
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1384853829155
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1384853829217
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1384853829304
